City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,gushikawa,26.3544,127.8686,18.57,91,0,5.14,JP,1670278225
217,pimenta bueno,-11.6725,-61.1936,22.91,97,100,0.97,BR,1670278228
218,cidreira,-30.1811,-50.2056,22.21,90,97,4.26,BR,1670278230
219,seminole,28.7086,-81.2081,24.2,77,100,2.06,US,1670278051
220,maceio,-9.6658,-35.7353,23.69,94,75,4.63,BR,1670278121
221,victoria,22.2855,114.1577,16.25,78,74,5.36,HK,1670278227
222,hambantota,6.1241,81.1185,24.7,84,100,2.24,LK,1670278241
223,bengkulu,-3.8004,102.2655,23.38,90,100,1.19,ID,1670278243
224,kolyvan,55.3053,82.7391,-24.12,100,33,1.79,RU,1670278246
225,coihaique,-45.5752,-72.0662,13.97,54,75,3.09,CL,1670278248
226,kahului,20.8947,-156.47,28.01,68,20,7.2,US,1670278250
227,fairbanks,64.8378,-147.7164,-7.27,88,75,0.0,US,1670278064
228,ajdabiya,30.7554,20.2263,17.8,41,44,4.57,LY,1670278255
229,dingle,10.9995,122.6711,22.86,93,35,3.4,PH,1670278257
230,veraval,20.9,70.3667,21.4,38,0,5.09,IN,1670278259
231,krasnoborsk,61.5598,45.934,-10.03,82,88,2.78,RU,1670278262
232,nampula,-15.1165,39.2666,21.6,92,13,2.06,MZ,1670278264
233,kaoma,-14.7833,24.8,19.35,74,59,4.06,ZM,1670278266
234,rio gallegos,-51.6226,-69.2181,13.03,21,75,10.8,AR,1670278269
235,amapa,1.0,-52.0,23.83,86,100,1.25,BR,1670278271
236,port hedland,-20.3167,118.5667,26.03,78,92,4.63,AU,1670278274
237,matara,5.9485,80.5353,23.79,88,100,1.03,LK,1670278276
238,bethel,41.3712,-73.414,6.42,53,0,0.0,US,1670278278
239,harper,4.375,-7.7169,25.76,85,75,2.81,LR,1670278281
240,gigmoto,13.7796,124.39,25.39,79,100,2.82,PH,1670278283
241,cape town,-33.9258,18.4232,17.97,69,88,2.68,ZA,1670278266
242,bakchar,57.0186,82.0711,-20.73,98,97,1.6,RU,1670278288
243,omboue,-1.5746,9.2618,25.57,90,86,2.49,GA,1670278290
244,cabedelo,-6.9811,-34.8339,26.37,76,15,5.33,BR,1670278292
245,nea stira,38.1833,24.2,13.85,76,56,3.96,GR,1670278295
246,itoman,26.1247,127.6694,19.01,88,75,7.72,JP,1670278297
247,plattsburgh,44.6995,-73.4529,6.42,47,0,2.57,US,1670278299
248,udachnyy,66.4167,112.4,-25.31,75,100,4.68,RU,1670278302
249,nouadhibou,20.931,-17.0347,18.92,79,7,6.4,MR,1670278304
250,puerto escondido,15.85,-97.0667,30.46,58,0,1.54,MX,1670278306
251,te anau,-45.4167,167.7167,8.59,97,100,1.64,NZ,1670278257
252,timmins,48.4669,-81.3331,-3.43,95,100,1.52,CA,1670278311
253,vila,42.0304,-8.1588,5.49,89,100,1.6,PT,1670278313
254,vestmannaeyjar,63.4427,-20.2734,4.69,69,43,2.13,IS,1670278315
255,marawi,7.9986,124.2928,19.4,93,73,0.83,PH,1670278318
256,okhotsk,59.3833,143.3,-30.16,82,65,4.74,RU,1670278320
257,tautira,-17.7333,-149.15,26.18,76,52,7.51,PF,1670278322
258,dikson,73.5069,80.5464,-5.13,96,100,5.83,RU,1670278325
259,lisala,2.15,21.5167,19.76,97,100,2.85,CD,1670278327
260,fenoarivo,-18.933,47.4354,18.04,82,75,2.57,MG,1670278330
261,isiolo,0.3546,37.5822,20.14,76,100,1.64,KE,1670278334
262,galveston,29.3669,-94.9669,27.06,85,0,5.66,US,1670278189
263,mount gambier,-37.8333,140.7667,13.83,60,25,3.57,AU,1670278339
264,rocha,-34.4833,-54.3333,22.0,62,0,4.19,UY,1670278343
265,araouane,18.9048,-3.5265,26.38,17,97,2.09,ML,1670278346
266,fuzhou,26.0614,119.3061,11.78,84,99,1.45,CN,1670278348
267,shimoda,34.6667,138.95,7.84,90,100,5.89,JP,1670278350
268,ranong,9.9658,98.6348,24.47,91,99,2.4,TH,1670278353
269,eregli,37.5133,34.0467,4.26,71,40,0.31,TR,1670278355
270,san quintin,30.4833,-115.95,18.0,68,0,8.64,MX,1670278357
